ASSIGNMENT
# lesson,lecturer,hours of each lab,number of labs
ΨΗΦΙΑΚΕΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ,Δημόπουλος Δημήτρης,1,6
Κεραίες-Μικροκύματα,Αγγέλης Κωνσταντίνος,1,2
Οπτοηλεκτρονική, Αγγέλης Κωνσταντίνος,1,2
Παιχνιδοποίηση, Αντωνιάδης Νικόλαος,1,2
ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ, Αντωνιάδης Νικόλαος,1,6
ΜΕΘΟΔΟΛΟΓΙΑ ΕΡΕΥΝΑΣ & ΣΥΓΓΡΑΦΗΣ ΕΡΓΑΣΙΩΝ, Αντωνιάδης Νικόλαος,1,2
ΛΟΓΙΚΗ ΣΧΕΔΙΑΣΗ,Βαρτζιώτης Φώτιος,3,1,8
Τεχνικές Σχεδίασης CMOS ASIC, Βαρτζιώτης Φώτιος,1,4
Κατανεμημένα και Παράλληλα Συστήματα, Βαρτζιώτης Φώτιος,1,1
ΠΡΟΗΓΜΕΝΕΣ ΤΕΧΝΙΚΕΣ ΨΗΦΙΑΚΗΣ ΣΧΕΔΙΑΣΗΣ VLSI,1,1
ΗΛΕΚΤΡΟΝΙΚΗ,Γιαννακέας Νικόλαος,1,4
ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΟΣ,Γιαννακέας Νικόλαος,1,2
ΕΠΕΞΕΡΓΑΣΙΑ ΕΙΚΟΝΑΣ, Γιαννακέας Νικόλαος,2,2
ΑΡΧΙΤΕΚΤΟΝΙΚΗ ΥΠΟΛΟΓΙΣΤΩΝ,Γλαβάς Ευριππίδης,1,4
ΨΗΦΙΑΚΑ ΗΛΕΚΤΡΟΝΙΚΑ, Γλαβάς Ευριππιδής,1,4
ΕΝΣΩΜΑΤΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ,Δουμένης Γρηγόριος,1,4
Διαδίκτυο των Αντικειμένων,Δουμένης Γρηγόριος,1,1
ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ,Καρβέλης Πέτρος,1,2
ΔΟΜΕΣ ΔΕΔΟΜΕΝΩΝ, Καρβέλης Πέτρος,1,8
Εξόρυξη Δεδομένων,Καρβέλης Πέτρος,1,1
Τεχνολογίες Εφαρμογών Διαδικτύου,Λιάγκου Βασιλική,1,1
ΑΣΦΑΛΕΙΑ ΣΥΣΤΗΜΑΤΩΝ,Λιάγκου Βασιλική,1,1
ΛΕΙΤΟΥΡΓΙΚΑ ΣΥΣΤΗΜΑΤΑ,Λιαροκάπης Δημήτρης,1,4
ΣΥΣΤΗΜΑΤΑ ΤΗΛΕΚΠΑΙΔΕΥΣΗΣ,Λιαροκάπης Δημήτρης,1,1
Πληροφοριακά Συστήματα Επιχειρήσεων,Μάντακας Μάριος,1,1
ΤΕΧΝΟΛΟΓΙΑ ΛΟΓΙΣΜΙΚΟΥ,Μάντακας Μάριος,1,4
Ανάπτυξη Εφαρμογών Ιστού & Βάσεων Δεδομένων,Μάντακας Μάριος,1,1
ΕΥΡΥΖΩΝΙΚΑ ΔΙΚΤΥΑ,Στεργίου Ελευθέριος,1,4
ΠΡΩΤΟΚΟΛΛΑ & ΑΡΧΙΤΕΚΤΟΝΙΚΕΣ ΔΙΚΤΥΩΝ,Στεργίου Ελευθέριος,1,6
Ανάλυση και Προσομοίωση Δικτύων,Στεργίου Ελευθέριος,1,1
ΤΕΧΝΗΤΗ ΝΟΗΜΟΣΥΝΗ,Στύλιος Χρυσόστομος,1,4
ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ Ι,Τζάλλας Αλέξανδρος,2,6
ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΑ ΔΙΚΤΥΑ ΙΙ,Τσορμπατζόγλου Ανδρέας,1,1
ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΑ ΣΥΣΤΗΜΑΤΑ, Τσορμπατζόγλου Ανδρέας,1,1 
ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΙΙ,Τσούλος Ιωάννης,2,6
Προγραμματισμός Κινητών Συσκευών,Τσούλος Ιωάννης,2,1
Μοντελοποίηση και Έλεγχος Συστημάτων,Φουτσιτζή Γεωργία,1,1















